老磊,0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑,钦拌
20201216,45,69,153,104,142,215,191,91,68,1078
20201217,56,55,107,124,141,214,173,85,59,1014
20201218,40,66,123,131,134,227,186,91,66,1064
20201219,33,65,132,111,153,217,176,81,77,1045
20201220,47,71,137,142,153,233,187,79,47,1096
20201221,46,45,97,116,124,195,160,87,54,924
20201222,31,56,104,104,124,179,131,86,51,866
20201223,46,62,102,124,143,246,189,96,82,1090
20201224,36,69,128,136,133,183,171,75,54,985
20201225,47,66,158,169,197,239,214,86,64,1240
20201226,47,80,128,148,178,209,171,89,81,1131
20201227,36,61,111,131,159,191,179,61,41,970
20201228,35,50,76,113,120,172,129,62,49,806
20201229,41,52,145,147,172,190,184,75,38,1044
20201230,39,57,116,112,163,198,204,92,69,1050
20201231,49,67,93,132,134,186,174,67,65,967
20210101,41,74,129,145,154,204,159,80,41,1027
20210102,39,66,111,107,105,160,125,58,49,820
20210103,32,46,81,77,89,125,117,52,38,657
20210104,40,71,120,127,172,187,153,69,81,1020
20210105,45,42,101,103,114,128,110,45,26,714
20210106,45,60,107,106,110,139,147,73,51,838
20210107,41,55,122,120,155,176,115,58,27,869
20210108,34,43,92,86,84,125,124,49,37,674
20210109,32,50,100,91,89,124,80,50,25,641
20210110,36,56,86,78,92,142,84,49,34,657
20210111,19,36,47,54,61,79,80,44,31,451
20210112,32,34,71,59,91,102,74,39,35,537
20210113,24,28,66,81,82,129,88,47,16,561
20210114,25,45,61,68,85,99,73,39,29,524
20210115,42,37,62,70,80,97,91,22,11,512
20210116,31,60,54,74,79,106,108,42,26,580
20210117,27,30,74,73,82,87,70,38,39,520
20210118,17,31,48,53,66,75,49,30,20,389
20210119,22,27,52,58,72,73,43,31,8,386
20210120,27,27,56,47,58,76,61,31,21,404
20210121,15,27,46,49,53,85,61,40,24,400
20210122,18,21,53,44,52,65,63,17,13,346
20210123,21,30,49,59,59,85,62,43,23,431
20210124,18,18,68,50,60,79,61,21,17,392
20210125,14,138,44,42,46,72,51,17,13,437
20210126,15,30,64,43,50,59,55,14,19,349
20210127,42,97,67,72,85,79,68,26,23,559
20210128,33,47,64,58,80,88,69,33,25,497
20210129,22,39,47,53,74,88,73,30,43,469
20210130,27,48,47,50,67,76,73,35,33,456
20210131,17,20,46,49,45,74,57,20,26,354
20210201,20,30,36,44,39,54,45,18,19,305
20210202,9,30,50,37,52,70,55,19,14,336
20210203,22,41,75,64,92,70,62,29,12,467
20210204,27,27,50,64,76,75,69,37,26,451
20210205,30,28,30,60,43,65,75,25,14,370
20210206,25,31,51,40,60,77,63,30,13,390
20210207,21,26,51,47,44,79,66,26,11,371
20210208,19,9,33,32,53,52,59,22,9,288
20210209,15,26,34,40,52,59,38,28,11,303
20210210,22,53,53,68,70,84,54,30,10,444
20210211,27,28,72,60,65,97,91,40,24,504
20210212,20,30,44,64,47,76,72,38,12,403
20210213,21,24,56,48,49,54,56,34,20,362
20210214,20,21,49,41,40,52,52,39,12,326
20210215,19,29,42,49,47,53,51,32,21,343
20210216,25,31,65,76,78,73,67,27,15,457
20210217,32,38,93,123,88,100,96,36,15,621
20210218,37,30,82,127,78,124,96,28,19,621
20210219,35,38,91,84,79,93,72,33,36,561
20210220,35,28,59,74,69,69,68,27,19,448
20210221,23,31,63,66,44,65,65,37,22,416
20210222,22,30,57,48,28,54,55,23,15,332
20210223,20,22,57,58,47,63,55,18,16,356
20210224,21,30,71,70,65,70,62,34,17,440
20210225,23,31,62,68,67,68,46,19,11,395
20210226,13,27,55,66,54,76,62,22,12,387
20210227,22,31,68,71,62,71,53,25,12,415
20210228,13,29,48,43,55,78,51,25,13,355
20210301,31,30,43,58,45,65,54,16,13,355
20210302,30,29,49,59,52,56,39,19,11,344
